English,Russian,French
grain,зерно,grain
grand,большой,grandiose
grandfather,Дед,grand-père
grandmother,бабушка,grand-mère
grant,грант,accorder
grass,трава,gazon
grave,могила,tombe
gray,серый,gris
great,большой,génial
greatest,величайший,plus
green,зеленый,vert
grocery,Бакалея,épicerie
ground,земля,terre
group,группа,grouper
grow,расти,croître
growing,рост,croissance
growth,рост,croissance
guarantee,гарантия,garantie
guard,сторожить,garder
guess,угадать,devine
guest,гость,invité
guide,гид,guider
guideline,директива,ligne directrice
guilty,виновный,coupable
gun,пистолет,arme à feu
guy,парень,mec
habit,привычка,habitude
habitat,среда обитания,habitat
hair,волосы,Cheveu
half,половина,moitié
hall,зал,salle
hand,рука,main
handful,горсть,poignée
handle,ручка,manipuler
hang,вешать,pendre
happen,случаться,se produire
happy,счастливый,heureux
hard,жесткий,difficile
hardly,едва,à peine
hat,шляпа,chapeau
hate,ненавидеть,détester
have,имеют,avoir
he,он,il
head,глава,diriger
headline,Заголовок,gros titre
headquarters,штаб-квартира,quartier général
health,здоровье,santé
healthy,здоровый,sain
hear,слышать,écouter
hearing,слушание,audience
heart,сердце,cœur
heat,нагревать,Chauffer
heaven,небеса,paradis
heavily,сильно,fortement
heavy,тяжелый,lourd
heel,пятка,talon
height,высота,la taille
helicopter,вертолет,hélicoptère
hell,ад,enfer
hello,Привет,Bonjour
help,помощь,aider
helpful,полезный,utile
her,ее,sa
here,здесь,ici
heritage,наследство,patrimoine
hero,герой,héros
herself,саму себя,se
hey,Привет,Hey
hi,Привет,salut
hide,Спрятать,cacher
high,высокая,haute
highlight,выделять,surligner
highly,очень,très
highway,шоссе,Autoroute
hill,холм,colline
him,ему,lui
himself,сам,lui-même
hip,бедро,hanche
hire,прокат,embaucher
his,его,le sien
historian,историк,historien
historic,исторический,historique
historical,исторический,historique
history,история,l'histoire
hit,ударить,frappé
hold,держать,tenir
hole,отверстие,trou
holiday,день отдыха,vacances
holy,святой,Saint
home,дом,domicile
homeless,бездомный,sans abri
honest,честный,honnête
honey,медовый,mon chéri
honor,честь,honneur
hope,надеяться,espoir
horizon,горизонт,horizon
horror,фильм ужасов,horreur
horse,лошадь,cheval
hospital,больница,hôpital
host,хозяин,hôte
hot,горячий,chaud
hotel,отель,Hôtel
hour,час,heure
house,жилой дом,loger
household,семья,ménage
housing,Корпус,logement
how,как,comment
however,тем не мение,pourtant
huge,огромный,énorme
human,человек,Humain
humor,юмор,humour
hundred,сто,cent
hungry,голодный,faim
hunter,охотник,chasseur
hunting,охота,chasse
hurt,повредить,faire mal
husband,муж,mari
hypothesis,гипотеза,hypothèse
I,я,je
ice,лед,glace
idea,идея,idée
ideal,идеальный,idéal
identification,идентификация,identification
identify,идентифицировать,identifier
identity,личность,identité
ie,т.е.,c'est à dire
if,если,si
ignore,игнорировать,ignorer
ill,больной,malade
illegal,нелегальный,illégal
illness,болезнь,maladies
illustrate,иллюстрировать,illustrer
image,изображение,image
imagination,воображение,imagination
imagine,представить,imaginer
immediate,немедленный,immédiat
immediately,немедленно,immédiatement
immigrant,иммигрант,immigrant
immigration,иммиграция,immigration
impact,влияние,impacter
implement,осуществлять,mettre en œuvre
implication,импликация,implication
imply,подразумевать,impliquer
importance,важность,importance
important,важный,important
impose,навязывать,imposer
impossible,невозможно,impossible
impress,оттиска,impressionner
impression,впечатление,impression
impressive,впечатляющий,impressionnant
improve,улучшать,améliorer
improvement,улучшение,amélioration
in,в,dans
incentive,стимул,motivation
incident,инцидент,incident
include,включать,inclure
including,в том числе,comprenant
income,доход,le revenu
incorporate,Включайте,intégrer
increase,увеличивать,augmenter
increased,выросла,augmenté
increasing,повышение,en augmentant
increasingly,все больше и больше,de plus en plus
incredible,невероятный,incroyable
indeed,действительно,En effet
independence,независимость,indépendance
independent,независимый,indépendant
index,индекс,indice
Indian,индийский,Indien
indicate,указывать,indiquer
indication,индикация,indication
individual,физическое лицо,individuel
industrial,промышленные,industriel
industry,промышленность,industrie
infant,младенец,bébé
infection,инфекционное заболевание,infection
inflation,инфляция,inflation
influence,влияние,influence
inform,поставить в известность,informer
information,Информация,informations
ingredient,ингредиент,ingrédient
initial,исходный,initiale
initially,первоначально,initialement
initiative,инициатива,initiative
injury,"травма, повреждение",blessure
inner,внутренний,intérieur
innocent,невиновный,innocent
inquiry,расследование,enquête
inside,внутри,à l'intérieur
insight,на виду,aperçu
insist,настаивать,insister
inspire,вдохновлять,inspirer
install,установить,installer
instance,пример,exemple
instead,вместо,plutôt
institution,учреждение,institution
institutional,институциональных,institutionnel
instruction,инструкция,instruction
instructor,инструктор,instructeur
instrument,инструмент,instrument
insurance,страхование,Assurance
intellectual,интеллектуальной,intellectuel
intelligence,интеллект,intelligence
intend,намереваться,avoir l'intention
intense,интенсивный,intense
intensity,интенсивность,intensité
intention,намерение,intention
interaction,взаимодействие,interaction
interest,интерес,intérêt
interested,заинтересованный,intéressé
interesting,интересно,intéressant
internal,внутренний,interne
international,Международный,international
Internet,интернет,l'Internet
interpret,интерпретировать,interpréter
interpretation,интерпретация,interprétation
intervention,вмешательство,intervention
interview,интервью,entrevue
into,в,dans
introduce,представлять,présenter
introduction,вступление,introduction
invasion,вторжение,invasion
invest,вкладывать деньги,investir
investigate,расследовать,enquêter
investigation,изучение,enquête
investigator,следователь,enquêteur
investment,инвестиции,investissement
investor,инвестор,investisseur
invite,приглашать,inviter
involve,вовлекать,impliquer
involved,вовлеченный,impliqué
involvement,участие,participation
Iraqi,иракский,irakien
Irish,ирландский,irlandais
iron,утюг,le fer
Islamic,исламский,islamique
island,остров,île
Israeli,израильтянин,israélien
issue,проблема,publier
it,Это,il
Italian,итальянский,italien
item,пункт,Objet
its,это,son
itself,сам,lui-même
jacket,пиджак,veste
jail,тюрьма,geôle
Japanese,Японский,Japonais
jet,реактивный самолет,jet
Jew,еврей,Juif
Jewish,иудейский,juif
job,работа,travail
join,присоединиться,rejoindre
joint,соединение,découper
joke,шутить,blague
journal,журнал,journal
journalist,журналистка,journaliste
journey,путешествие,voyage
joy,радость,joie
judge,судить,juge
judgment,суждение,jugement
juice,сок,jus
jump,Прыгать,sauter
jury,жюри,jury
just,просто,juste
justice,справедливость,Justice
justify,оправдывать,justifier
keep,хранить,garder
key,ключ,clé
kick,пинать,coup
kid,дитя,enfant
kill,убийство,tuer
killer,убийца,tueur
killing,убийство,meurtre
kind,своего рода,gentil
king,король,Roi
kiss,целовать,embrasser
kitchen,кухня,cuisine
knee,колено,le genou
knife,нож,couteau
knock,постучать,frappe
know,знать,connaître
knowledge,знание,connaissances
lab,лаборатория,laboratoire
label,метка,étiqueter
labor,труд,la main d'oeuvre
laboratory,лаборатория,laboratoire
lack,недостаток,manquer de
lady,леди,la demoiselle
lake,озеро,Lac
land,земля,terre
landscape,пейзаж,paysage
language,язык,Langue
lap,колени,genoux
large,большой,grande
largely,во многом,en grande partie
last,последний,dernier
late,поздно,en retard
later,позже,plus tard
Latin,латинский,Latin
latter,последний,dernier
laugh,смех,rire
launch,запуск,lancement
law,закон,droit
lawn,лужайка,pelouse
lawsuit,судебный процесс,procès
lawyer,юрист,avocat
lay,класть,allonger
layer,слой,couche
lead,Свинец,conduire
leader,лидер,chef
leadership,руководство,leadership
leading,ведущий,premier
leaf,лист,feuille
league,лига,ligue
lean,худой,mince
learn,учить,apprendre
learning,обучение,apprentissage
least,наименее,moins
leather,натуральная кожа,cuir
leave,покинуть,quitter
left,оставил,la gauche
leg,нога,jambe
legacy,наследие,héritage
legal,правовой,légal
legend,легенда,Légende
legislation,законодательство,législation
legitimate,законный,légitime
lemon,лимон,citron
length,длина,longueur
less,меньше,moins
lesson,урок,leçon
let,позволять,laisser
letter,письмо,lettre
level,уровень,niveau
liberal,либеральный,libéral
library,библиотека,bibliothèque
license,лицензия,Licence
lie,ложь,mensonge
life,жизнь,vie
lifestyle,Стиль жизни,mode de vie
lifetime,продолжительность жизни,durée de vie
lift,поднимать,ascenseur
light,свет,lumière
like,нравиться,aimer
likely,вероятный,probable
limit,предел,limite
limitation,ограничение,limitation
limited,ограничено,limité
line,линия,ligne
link,ссылка на сайт,relier
lip,губа,lèvre
list,список,liste
listen,Слушать,Ecoutez
literally,буквально,au sens propre
literary,литературный,littéraire
literature,литература,Littérature
little,маленький,peu
live,жить,habitent
living,жизнь,vivant
load,нагрузка,charge
loan,заем,prêt
local,местный,local
locate,разместить,Localiser
location,место расположения,emplacement
lock,замок,fermer à clé
long,длинный,longue
long-term,долгосрочный,long terme
look,смотрю,voir
loose,свободный,ample
lose,терять,perdre
loss,потеря,perte
lost,потерянный,perdu
lot,много,parcelle
lots,много,beaucoup
loud,громкий,fort
love,любовь,l'amour
lovely,прекрасный,beau
lover,возлюбленный,amant
low,низкий,faible
lower,ниже,plus bas
luck,удача,chance
lucky,везучий,chanceux
lunch,обед,déjeuner
lung,легкое,poumon
machine,машина,machine
mad,без ума,furieux
magazine,журнал,magazine
mail,Почта,poster
mainly,в основном,surtout
maintain,поддерживать,maintenir
maintenance,Обслуживание,maintenance
major,главный,Majeur
majority,большинство,majorité
make,делать,Fabriquer
maker,производитель,fabricant
makeup,"макияж, мириться",se réconcilier
male,мужчина,Masculin
mall,торговый центр,centre commercial
man,человек,homme
manage,управлять,faire en sorte
management,управление,la gestion
manager,менеджер,directeur
manner,манера,manière
manufacturer,производитель,fabricant
manufacturing,производство,fabrication
many,многие,beaucoup
map,карта,carte
margin,поле,marge
mark,отметка,marque
market,рынок,marché
marketing,маркетинг,commercialisation
marriage,брак,mariage
married,в браке,marié
marry,жениться,marier
mask,маскировать,masquer
mass,масса,Masse
massive,массивный,massif
master,владелец,Maître
match,матч,correspondre
material,материал,Matériel
math,математический,math
matter,иметь значение,matière
may,май,mai
maybe,может быть,peut être
mayor,мэр,maire
me,меня,moi
meal,еда,repas
mean,иметь в виду,moyenne
meaning,имея в виду,sens
meanwhile,тем временем,pendant ce temps
measure,мера,mesure
measurement,измерение,la mesure
meat,мясо,Viande
mechanism,механизм,mécanisme
media,СМИ,médias
medical,медицинская,médical
medication,медикамент,des médicaments
medicine,медицина,Médicament
medium,Средняя,moyen
meet,встретиться,rencontrer
meeting,встреча,Rencontre
member,член,membre
membership,членство,adhésion
memory,объем памяти,Mémoire
mental,умственный,mental
mention,упомянуть,mention
menu,меню,menu
mere,простой,simple
merely,просто,seulement
mess,беспорядок,désordre
message,сообщение,un message
metal,металл,métal
meter,метр,mètre
method,метод,méthode
Mexican,мексиканец,mexicain
middle,середина,milieu
might,мощь,force
military,военный,militaire
milk,молоко,lait
million,миллиона,million
mind,разум,écouter
mine,мой,mien
minister,министр,ministre
minor,незначительный,mineur
minority,меньшинство,minorité
minute,минут,minute
miracle,чудо,miracle
mirror,зеркало,miroir
miss,скучать,Mademoiselle
missile,ракета,missile
mission,миссия,mission
mistake,ошибка,erreur
mix,смешивание,mélanger
mixture,смесь,mélange
mm-hmm,мм гм,mm-hmm
mode,Режим,mode
model,модель,maquette
moderate,умеренный,modérer
modern,современный,moderne
modest,скромный,modeste
mom,Мама,maman
moment,момент,moment
money,Деньги,de l'argent
monitor,монитор,surveiller
month,месяц,mois
mood,настроение,ambiance
moon,Луна,lune
moral,моральный,moral
more,более,Suite
moreover,более того,en outre
morning,утро,Matin
mortgage,ипотечный кредит,hypothèque
most,наиболее,les plus
mostly,по большей части,la plupart
mother,мама,mère
motion,движение,mouvement
motivation,мотивация,motivation
motor,двигатель,moteur
mount,устанавливать,monter
mountain,гора,montagne
mouse,мышь,Souris
mouth,рот,bouche
move,двигаться,bouge toi
movement,движение,mouvement
movie,кино,film
Mr,Мистер,m
Mrs,Миссис,Madame
Ms,РС,Mme
much,много,beaucoup
multiple,несколько,plusieurs
murder,убийство,meurtre
muscle,мускул,muscle
museum,музей,musée
music,Музыка,musique
musical,музыкальный,musical
musician,музыкант,musicien
Muslim,мусульманка,musulman
must,должен,doit
mutual,взаимный,mutuel
my,мой,ma
myself,сам,moi même
mystery,тайна,mystère
myth,миф,mythe
naked,обнаженный,nu
name,название,Nom
narrative,повествование,récit
narrow,узкий,étroit
nation,нация,nation
national,национальный,nationale
native,родной,originaire de
natural,естественный,Naturel
naturally,естественно,naturellement
nature,природа,nature
near,возле,près
nearby,рядом,proche
nearly,Около,presque
necessarily,обязательно,nécessairement
necessary,нужно,nécessaire
neck,шея,cou
need,нужно,besoin
negative,отрицательный,négatif
negotiate,вести переговоры,négocier
negotiation,Переговоры,négociation
neighbor,сосед,voisin
neighborhood,район,quartier
neither,ни один,ni
nerve,нерв,nerf
nervous,нервный,nerveux
net,сеть,rapporter
network,сеть,réseau
never,никогда,jamais
nevertheless,тем не менее,cependant
new,новый,Nouveau
newly,вновь,nouvellement
news,Новости,nouvelles
newspaper,газета,journal
next,следующий,suivant
nice,красивый,agréable
night,ночь,nuit
nine,девять,neuf
no,нет,non
nobody,никто,personne
nod,кивок,hocher la tête
noise,шум,bruit
nomination,назначение,nomination
none,никто,rien
nonetheless,тем не менее,néanmoins
nor,ни,ni
normal,обычный,Ordinaire
normally,обычно,normalement
north,к северу,Nord
northern,северный,nord
nose,нос,nez
not,нет,ne pas
note,Примечание,Remarque
nothing,ничего такого,rien
notice,уведомление,remarquer
notion,понятие,notion
novel,Роман,roman
now,сейчас,à présent
nowhere,нигде,nulle part
n't,не,NT
nuclear,ядерной,nucléaire
number,номер,numéro
numerous,многочисленные,nombreux
nurse,медсестра,infirmière
nut,орех,noix
object,объект,objet
objective,цель,objectif
obligation,обязательство,obligation
observation,наблюдение,observation
observe,наблюдать,observer
observer,наблюдатель,observateur
obtain,получать,obtenir
obvious,очевидный,évident
obviously,очевидно,évidemment
occasion,случай,occasion
occasionally,изредка,parfois
occupation,оккупация,Occupation
occupy,оккупировать,occuper
occur,происходить,se produire
ocean,океан,océan
odd,странный,impair
odds,шансы,chances
of,из,de
off,выключенный,désactivé
offense,преступление,infraction
offensive,оскорбительный,offensive
offer,предложение,offrir
office,офис,Bureau
officer,сотрудник,officier
official,официальный,officiel
often,довольно часто,souvent
oh,ой,Oh
oil,масло,huile
ok,ОК,d'accord
okay,хорошо,d'accord
old,Старый,vieille
Olympic,олимпийский,olympique
on,на,au
once,однажды,une fois que
one,один,une
ongoing,непрерывный,en cours
onion,лук,oignon
online,онлайн,en ligne
only,Только,seul
onto,на,sur
open,открыто,ouvert
opening,открытие,ouverture
operate,работать,fonctionner
operating,операционная,en fonctionnement
operation,операция,opération
operator,оператор,opérateur
opinion,мнение,avis
opponent,противник,adversaire
opportunity,возможность,occasion
oppose,оппонировать,s'opposer
opposite,противоположный,opposé
opposition,оппозиция,opposition
option,вариант,option
or,или же,ou alors
orange,апельсин,Orange
order,заказывать,ordre
ordinary,обычный,ordinaire
organic,органический,biologique
organization,организация,organisation
organize,организовать,organiser
orientation,ориентация,orientation
origin,источник,origine
original,оригинал,original
originally,первоначально,à l'origine
other,Другие,autre
others,другие,autres
otherwise,иначе,autrement
ought,должен,devrait
our,наш,notre
ourselves,сами,nous-mêmes
out,вне,en dehors
outcome,исход,résultat
outside,за пределами,dehors
oven,печь,four
over,над,plus de
overall,общий,globalement
overcome,превосходить,surmonter
overlook,игнорировать,négliger
owe,быть должным,devoir
own,собственный,propre
owner,владелец,propriétaire
pace,шаг,rythme
pack,пакет,pack
package,упаковка,paquet
page,страница,page
pain,боль,la douleur
painful,болезненный,douloureux
paint,покрасить,Peinture
painter,художник,peintre
painting,картина,La peinture
pair,пара,paire
pale,бледный,pâle
Palestinian,палестинец,palestinien
palm,ладонь,paume
pan,кастрюля,poêle
panel,панель,panneau
pant,пыхтеть,haleter
paper,бумага,papier
parent,родитель,parent
park,парк,se garer
parking,стоянка,parking
part,часть,partie
participant,участник,participant
participate,принимать участие,participer
participation,участие,participation
particular,специфический,particulier
particularly,особенно,particulièrement
partly,частично,partiellement
partner,партнер,partenaire
partnership,партнерство,Partenariat
party,вечеринка,fête
pass,проходить,passe
passage,проход,passage
passenger,пассажир,passager
passion,страсть,la passion
past,мимо,passé
patch,пластырь,pièce
path,дорожка,chemin
patient,пациент,patient
pattern,шаблон,schéma
pause,Пауза,pause
pay,платить,Payer
payment,оплата,Paiement
PC,ПК,ordinateur personnel
peace,мир,paix
peak,пик,Pic
peer,вглядеться,pair
penalty,штраф,peine
people,люди,gens
pepper,перец,poivre
per,в,par
perceive,понимать,apercevoir
percentage,процент,pourcentage
perception,восприятие,la perception
perfect,идеально,parfait
perfectly,отлично,à la perfection
perform,выполнять,effectuer
performance,представление,performance
perhaps,возможно,peut-être
period,период,période
permanent,постоянный,permanent
permission,разрешение,autorisation
permit,разрешать,permis
person,человек,personne
personal,личный,personnel
personality,личность,personnalité
personally,лично,personnellement
personnel,персонал,personnel
perspective,перспектива,perspective
persuade,убеждать,persuader
pet,домашний питомец,animaux
phase,фаза,phase
phenomenon,явление,phénomène
philosophy,философия,philosophie
phone,Телефон,téléphoner
photo,Фото,photo
photograph,фотография,photographier
photographer,фотограф,photographe
phrase,фраза,phrase
physical,физическое,physique
physically,физически,physiquement
physician,врач,médecin
piano,пианино,piano
pick,выбирать,prendre
picture,картина,photo
pie,пирог,tarte
piece,кусок,pièce
pile,куча,pile
pilot,пилот,pilote
pine,сосна,pin
pink,розовый,rose
pipe,трубка,tuyau
pitch,подача,terrain
place,место,endroit
plan,строить планы,plan
plane,самолет,avion
planet,планета,planète
planning,планирование,Planification
plant,растение,plante
plastic,пластик,Plastique
plate,пластина,assiette
platform,Платформа,Plate-forme
play,играть,jouer
player,игрок,joueur
please,пожалуйста,s'il te plaît
pleasure,удовольствие,plaisir
plenty,множество,beaucoup
plot,участок,parcelle
plus,плюс,plus
PM,ВЕЧЕРА,PM
pocket,карман,poche
poem,стихотворение,poème
poet,поэт,poète
poetry,поэзия,poésie
point,точка,point
pole,столб,pôle
police,полиция,police
policy,политика,politique
political,политическая,politique
politically,политически,politiquement
politician,политик,politicien
politics,политика,politique
poll,голосование,sondage
pollution,загрязнение,la pollution
pool,бассейн,bassin
poor,бедные,pauvres
pop,поп,pop
popular,популярный,populaire
population,Население,population
porch,порог,porche
port,порт,Port
portion,часть,portion
portrait,портрет,portrait
portray,изобразить,représenter
pose,поза,pose
position,должность,positionner
positive,положительный,positif
possess,владеть,posséder
possibility,возможность,possibilité
possible,возможный,possible
possibly,возможно,peut-être
post,Почта,Publier
pot,горшок,pot
potato,картофель,Patate
potential,потенциал,potentiel
potentially,потенциально,potentiellement
pound,фунт,broyer
pour,наливать,verser
poverty,бедность,la pauvreté
powder,пудра,poudre
power,мощность,Puissance
powerful,мощный,puissant
practical,практическое,pratique
practice,упражняться,entraine toi
pray,молиться,prier
prayer,молитва,prière
precisely,точно,précisément
predict,предсказывать,prédire
prefer,предпочитать,préférer
preference,предпочтение,préférence
pregnancy,беременность,grossesse
pregnant,беременная,Enceinte
preparation,подготовка,préparation
prepare,подготовить,préparer
prescription,рецепт,prescription
presence,присутствие,présence
present,настоящее время,cadeau
presentation,презентация,présentation
preserve,сохранять,préserver
president,президент,Président
presidential,президентских,présidentiel
press,Нажмите,presse
pressure,давление,pression
pretend,делать вид,faire semblant
pretty,симпатичный,joli
prevent,предотвращать,empêcher
previous,предыдущий,précédent
previously,ранее,précédemment
price,цена,le prix
pride,гордость,Orgueil
priest,священник,prêtre
primarily,прежде всего,principalement
primary,начальный,primaire
prime,основной,premier
principal,главный,principal
principle,принцип,principe
print,Распечатать,imprimer
prior,прежний,avant
priority,приоритет,priorité
prison,тюрьма,prison
prisoner,заключенный,prisonnier
privacy,Конфиденциальность,intimité
private,частный,privé
probably,наверное,Probablement
problem,проблема,problème
procedure,процедура,procédure
proceed,продолжить,procéder
process,процесс,traiter
produce,производить,produire
producer,режиссер,producteur
product,продукт,produit
production,производство,production
profession,профессия,profession
professional,профессиональный,professionnel
professor,профессор,professeur
profile,профиль,profil
profit,выгода,profit
program,программа,programme
progress,прогресс,le progrès
project,проект,projet
prominent,видный,important
promise,обещать,promettre
promote,продвигать,promouvoir
prompt,Подсказка,rapide
proof,доказательство,preuve
proper,правильный,correct
properly,должным образом,correctement
property,имущество,propriété
proportion,доля,proportion
proposal,предложение,proposition
propose,предложить,proposer
proposed,предложил,proposé
prosecutor,прокурор,procureur
prospect,перспектива,perspective
protect,защищать,protéger
protection,защита,protection
protein,белок,protéine
protest,протест,manifestation
proud,гордый,fier
prove,доказывать,prouver
provide,предоставлять,apporter
provider,поставщик,fournisseur
province,провинция,Province
provision,обеспечение,disposition
psychological,психологический,psychologique
psychologist,психолог,psychologue
psychology,психология,psychologie
public,общественности,Publique
publication,публикация,publication
publicly,публично,publiquement
publish,публиковать,publier
publisher,издатель,éditeur
pull,тянуть,tirer
punishment,наказание,Châtiment
purchase,покупка,achat
pure,чистый,pur
purpose,цель,objectif
pursue,преследовать,poursuivre
push,толкать,pousser
put,ставить,mettre
qualify,квалифицировать,qualifier
quality,качество,qualité
quarter,четверть,trimestre
quarterback,защитник,stratège
question,вопрос,question
quick,быстро,rapide
quickly,быстро,rapidement
quiet,тихий,calmer
quietly,тихо,tranquillement
quit,покидать,quitter
quite,довольно,assez
quote,Цитировать,citation
race,гонка,course
racial,расовый,racial
radical,радикал,radical
radio,радио,radio
rail,рельс,rail
rain,дождь,pluie
raise,поднимать,élever
range,диапазон,intervalle
rank,классифицировать,rang
rapid,стремительный,rapide
rapidly,быстро,rapidement
rare,редкий,peu fréquent
rarely,редко,rarement
rate,показатель,taux
rather,скорее,plutôt
rating,рейтинг,notation
ratio,соотношение,rapport
raw,сырой,cru
reach,достигать,atteindre
react,реагировать,réagir
reaction,реакция,réaction
read,читать,lis
reader,читатель,lecteur
reading,чтение,en train de lire
ready,готовы,prêt
real,настоящий,réel
reality,реальность,réalité
realize,понимать,prendre conscience de
really,В самом деле,vraiment
reason,причина,raison
reasonable,разумный,raisonnable
recall,отзывать,rappeler
receive,получить,recevoir
recent,недавний,récent
recently,совсем недавно,récemment
recipe,рецепт приготовления,Recette
recognition,признание,reconnaissance
recognize,распознавать,reconnaître
recommend,рекомендую,recommander
recommendation,рекомендация,recommandation
record,записывать,enregistrer
recording,запись,enregistrement
recover,восстанавливаться,se remettre
recovery,восстановление,récupération
recruit,принимать на работу,recruter
red,красный,rouge
reduce,уменьшать,réduire
reduction,снижение,réduction
refer,ссылаться,référer
reference,Справка,référence
reflect,отражать,réfléchir
reflection,отражение,réflexion
reform,реформа,réforme
refugee,беженец,réfugié
refuse,мусор,refuser
regard,внимание,ce qui concerne
regarding,касательно,En ce qui concerne
regardless,несмотря на,quand même
regime,режим,régime
region,"область, край",Région
regional,региональный,régional
register,регистр,S'inscrire
regular,обычный,ordinaire
regularly,регулярно,régulièrement
regulate,регулировать,réglementer
regulation,регулирование,régulation
reinforce,усиливать,renforcer
reject,отклонять,rejeter
relate,относиться,relater
relation,связь,relation
relationship,отношение,relation
relative,родственник,relatif
relatively,относительно,relativement
relax,расслабляться,Détendez-vous
release,релиз,Libération
relevant,уместным,pertinent
relief,облегчение,soulagement
religion,религия,religion
religious,религиозная,religieux
rely,полагаться,compter
remain,оставаться,rester
remaining,осталось,restant
remarkable,замечательный,remarquable
remember,помнить,souviens toi
remind,напоминать,rappeler
remote,удаленный,à distance
remove,Удалить,supprimer
repeat,повторить,répéter
repeatedly,несколько раз,à plusieurs reprises
replace,заменять,remplacer
reply,Ответить,réponse
report,отчет,rapport
reporter,репортер,journaliste
represent,представлять,représenter
representation,представление,représentation
representative,представитель,représentant
Republican,республиканец,Républicain
reputation,репутации,réputation
request,запрос,demander
require,требовать,exiger
requirement,требование,exigence
research,исследовать,recherche
researcher,Исследователь,chercheur
resemble,напоминать,ressembler
reservation,бронирование,réservation
resident,резидент,résident
resistance,сопротивление,la résistance
resolution,разрешающая способность,résolution
resolve,разрешить,résoudre
resort,прибегнуть,recours
resource,ресурс,Ressource
respect,уважать,le respect
respond,отвечать,répondre
respondent,ответчик,intimé
response,отклик,réponse
responsibility,обязанность,responsabilité
responsible,ответственный,responsable
rest,отдых,du repos
restaurant,ресторан,le restaurant
restore,восстановить,restaurer
restriction,ограничение,restriction
result,результат,résultat
retain,удерживать,conserver
retire,выходить на пенсию,se retirer
retirement,отставка,retraite
return,возвращаться,revenir
reveal,раскрывать,faire apparaître
revenue,доход,revenu
review,рассмотрение,revoir
revolution,революция,révolution
rhythm,ритм,rythme
rice,рис,riz
rich,богатый,riche
rid,избавлять,débarrasser
ride,поездка,conduire
rifle,винтовка,fusil
right,верно,droite
ring,звенеть,bague
rise,подъем,se lever
risk,риск,risque
river,река,fleuve
road,Дорога,route
rock,рок,rocheux
role,роль,rôle
roll,рулон,rouleau
romantic,романтик,romantique
roof,крыша,toit
room,номер,chambre
root,корень,racine
rope,веревка,corde
rose,Роза,Rose
rough,грубый,rugueux
roughly,грубо,grossièrement
round,круглый,rond
route,маршрут,route
routine,рутина,routine
row,строка,ligne
rub,тереть,frotter
rule,правило,régner
run,запустить,Cours
running,Бег,fonctionnement
rural,деревенский,rural
rush,порыв,se ruer
Russian,русский,russe
sacred,священный,sacré
sad,грустный,triste
safe,безопасный,sûr
safety,безопасность,sécurité
sake,ради,Saké
salad,салат,salade
salary,оплата труда,un salaire
sale,распродажа,vendre
sales,продажи,Ventes
salt,соль,sel
same,одно и тоже,même
sample,образец,goûter
sanction,санкция,sanction
sand,песок,le sable
satellite,спутник,Satellite
satisfaction,удовлетворение,la satisfaction
satisfy,удовлетворять,satisfaire
sauce,соус,sauce
save,спасти,sauvegarder
saving,экономия,économie
say,сказать,dire
scale,шкала,escalader
scandal,скандал,scandale
scared,испуганный,effrayé
scenario,сценарий,scénario
scene,сцена,scène
schedule,расписание,horaire
scheme,схема,schème
scholar,ученый,savant
scholarship,стипендия,Bourse
school,школа,école
science,наука,la science
scientific,научный,scientifique
scientist,ученый,scientifique
scope,сфера,portée
score,счет,But
scream,крик,pousser un cri
screen,экран,écran
script,скрипт,scénario
sea,море,mer
search,поиск,rechercher
season,время года,saison
seat,сиденье,siège
second,второй,deuxième
secret,секрет,secret
secretary,секретарь,secrétaire
section,раздел,section
sector,сектор,secteur
secure,безопасный,sécurise
security,безопасность,Sécurité
see,видеть,voir
seed,семя,planter
seek,стремиться,chercher
seem,казаться,sembler
segment,сегмент,segment
seize,воспользоваться,s'emparer de
select,Выбрать,sélectionner
selection,выбор,sélection
self,себя,soi
sell,продавать,vendre
Senate,сенат,Sénat
senator,сенатор,sénateur
send,Отправить,envoyer
senior,старший,Sénior
sense,смысл,sens
sensitive,чувствительный,sensible
sentence,приговор,phrase
separate,отдельный,séparé
sequence,последовательность,séquence
series,ряд,séries
serious,серьезный,sérieux
seriously,шутки в сторону,sérieusement
serve,обслуживать,servir
service,услуга,un service
session,сессия,session
set,набор,ensemble
setting,параметр,réglage
settle,решить,régler
settlement,урегулирование,règlement
seven,Семь,Sept
several,несколько,plusieurs
severe,серьезный,sévère
sex,секс,sexe
sexual,половой,sexuel
shade,оттенок,ombre
shadow,тень,ombre
shake,сотрясения,secouer
shall,должен,doit
shape,форма,façonner
share,Поделиться,partager
sharp,острый,pointu
she,она,elle
sheet,простынь,feuille
shelf,полка,étagère
shell,оболочка,coquille
shelter,приют,abri
shift,сдвиг,changement
shine,светить,briller
ship,корабль,bateau
shirt,Рубашка,la chemise
shit,дерьмо,merde
shock,шок,choc
shoe,башмак,chaussure
shoot,стрелять,tirer
shooting,стрельба,tournage
shop,магазин,magasin
shopping,поход по магазинам,achats
shore,берег,rive
short,короткая,court
shortly,вскоре,prochainement
shot,выстрелил,tirer
should,должен,devrait
shoulder,плечо,épaule
shout,кричать,crier
show,показывать,spectacle
shower,душ,douche
shrug,пожимание плечами,hausser les épaules
shut,закрыть,fermer
sick,больной,malade
side,боковая сторона,côté
sigh,вздох,soupir
